V_in,V_out
0.5,1.46
0.6,1.76
0.7,2.08
0.8,2.42
0.9,2.66
1,2.94
1.1,3.18
1.2,3.48
1.3,3.82
1.4,4.2
1.5,4.52
1.6,4.84
1.7,5.16
1.8,5.36
1.9,5.64
2,5.92
2.1,6.16
2.2,6.44
2.3,6.76
2.4,7.08
2.5,7.44
2.6,7.84
2.7,8.08
2.8,8.56
2.9,8.88
3,9.2
3.1,9.44
3.2,9.6
3.3,9.8
3.4,10.2
3.5,10.4
3.6,10.6
3.7,10.8
3.8,11.2
3.9,11.6
4,11.8
4.1,12
4.2,12.2
4.3,12.8
4.4,13
4.5,13.4
4.6,13.6
4.7,13.8
4.8,14.2
4.9,14.6
5,15
5.1,15.4
5.2,15.4
5.3,15.4
5.4,16.2
5.5,16.4
5.6,16.6
5.7,17
5.8,17.4
5.9,17.8
6,18
6.1,18.4
6.2,18.6
6.3,18.8
6.4,19.2
6.5,19.2
6.6,19.4
6.7,19.4
6.8,19.4
6.9,19.4
7,19.4
7.1,19.4
8,19.4
9,19.4
